time,high,low,open,volumefrom,volumeto,close,conversionType,conversionSymbol
2022-06-12 06:00:00,27524.55,27244.86,27264.44,1310.59,35933206.19,27464.69,direct,
2022-06-12 07:00:00,27642.12,27371.77,27464.69,864.62,23741451.67,27621.83,direct,
2022-06-12 08:00:00,27686.25,27512.84,27621.83,801.57,22107817.74,27541.09,direct,
2022-06-12 09:00:00,27578.57,27436.49,27541.09,681.76,18755203.43,27447.43,direct,
2022-06-12 10:00:00,27548.58,27343.61,27447.43,1027.32,28189737.86,27419.47,direct,
2022-06-12 11:00:00,27496.94,27328.48,27419.47,909.95,24935211.74,27432.81,direct,
2022-06-12 12:00:00,27561.15,27408.08,27432.81,600.77,16508267.37,27414.1,direct,
2022-06-12 13:00:00,27448.79,27216.82,27414.1,964.58,26365516.29,27287.28,direct,
2022-06-12 14:00:00,27934.6,26901.62,27287.28,4459.16,122128857.44,27785.08,direct,
2022-06-12 15:00:00,28302.81,27763.29,27785.08,2270.94,63727861.5,28068.6,direct,
2022-06-12 16:00:00,28147.92,27798.25,28068.6,929.74,26017082.08,27908.56,direct,
2022-06-12 17:00:00,28208.19,27901.55,27908.56,829.16,23281713.27,28109.44,direct,
2022-06-12 18:00:00,28121.11,27867.41,28109.44,782.71,21890104.23,27888.36,direct,
2022-06-12 19:00:00,27917.41,27400.55,27888.36,1626.68,44869128.4,27412.6,direct,
2022-06-12 20:00:00,27518.41,27348.35,27412.6,997.55,27348317.63,27357.23,direct,
2022-06-12 21:00:00,27505.69,27327.12,27357.23,671.72,18413317.38,27353.73,direct,
2022-06-12 22:00:00,27427.63,26921.94,27353.73,2329.67,63213853.56,26984.69,direct,
2022-06-12 23:00:00,27156.11,26570.67,26984.69,3568.72,95708549.05,26587.35,direct,
2022-06-13 00:00:00,26871.6,26294.84,26587.35,6801.43,180686794.2,26299.42,direct,
2022-06-13 01:00:00,26461.2,25617.31,26299.42,8323.4,216985519.0,25752.37,direct,
2022-06-13 02:00:00,25851.25,25328.19,25752.37,5495.39,140565083.66,25335.76,direct,
2022-06-13 03:00:00,25663.34,24948.7,25335.76,8197.59,206916885.78,25498.1,direct,
2022-06-13 04:00:00,26230.97,25379.3,25498.1,4687.3,120827511.73,25394.53,direct,
2022-06-13 05:00:00,25827.43,25188.93,25394.53,3071.35,78249105.68,25216.96,direct,
2022-06-13 06:00:00,25577.42,25050.96,25216.96,3223.09,81496039.1,25292.72,direct,
2022-06-13 07:00:00,25433.04,24597.45,25292.72,4981.01,124383868.09,24775.2,direct,
2022-06-13 08:00:00,24876.46,24127.45,24775.2,9331.58,229236443.8,24150.25,direct,
2022-06-13 09:00:00,24502.83,23767.04,24150.25,11883.16,285965175.48,24006.38,direct,
2022-06-13 10:00:00,24274.94,23816.91,24006.38,5784.46,138984730.12,23951.08,direct,
2022-06-13 11:00:00,24051.35,23461.09,23951.08,8571.07,203061625.83,23690.28,direct,
2022-06-13 12:00:00,24316.63,23609.7,23690.28,8625.41,206932399.49,23640.41,direct,
2022-06-13 13:00:00,23859.78,23351.79,23640.41,14770.37,348016116.22,23617.43,direct,
2022-06-13 14:00:00,23694.68,22666.99,23617.43,17374.73,402800154.57,22802.31,direct,
2022-06-13 15:00:00,23452.96,22635.36,22802.31,10544.91,242696532.22,23255.99,direct,
2022-06-13 16:00:00,24188.19,23123.57,23255.99,8335.97,198230985.8,23711.67,direct,
2022-06-13 17:00:00,23743.19,23097.71,23711.67,4233.3,99101274.22,23524.81,direct,
2022-06-13 18:00:00,23788.66,23345.04,23524.81,3570.41,84159494.35,23359.96,direct,
2022-06-13 19:00:00,23386.33,23092.61,23359.96,3973.25,92280701.31,23159.89,direct,
2022-06-13 20:00:00,23753.73,23159.85,23159.89,3046.15,71382580.06,23220.82,direct,
